name,office,district_name,election_name,is_incumbent,appeared_on_ballot,bio,website,photo_url,official_candidate_source_url
Eric Reikenis,City Council District 1,City Council District 1,PSL City Council D1 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Indony Baptiste,City Council District 1,City Council District 1,PSL City Council D1 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Kevin Zimmerman,City Council District 1,City Council District 1,PSL City Council D1 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Fredric Meltzer,City Council District 1,City Council District 1,PSL City Council D1 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Shannon Martin,Mayor,Mayor,PSL Mayor 2026,true,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Eric Strazzeri,Mayor,Mayor,PSL Mayor 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Steven Giordano,Mayor,Mayor,PSL Mayor 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Steven Harrington,Mayor,Mayor,PSL Mayor 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Fritz Alexandre,City Council,City Council District 3,PSL City Council D3 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Jim Norton,City Council,City Council District 3,PSL City Council D3 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
Peter Overhuls,City Council,City Council District 3,PSL City Council D3 2026,false,true,,,,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections
