race,source_type,title,url,status,notes,last_checked
Port St. Lucie City Council District 1,candidate_source,City of Port St. Lucie Elections,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Elections,accepted,Official city elections page confirms 2026 District 1 candidates: Eric Reikenis; Indony Baptiste; Kevin Zimmerman; Fredric Meltzer,2026-06-25
Port St. Lucie City Council District 1,candidate_source,St. Lucie Supervisor of Elections Candidate Profiles,https://www.stlucievotes.gov/candidates_committees/candidate_profiles.php,accepted,Official/local candidate profile source accepted with limits for candidate profile discovery; visible candidate status; candidate-specific report navigation; and exact visible summary values only,2026-06-26
Port St. Lucie City Council District 1,funding_source,Kevin Zimmerman Florida Money Watch Profile,https://www.floridamoneywatch.com/candidate.php?AcctID=STL-026-0759,needs_review,Candidate-specific funding/profile page found for Kevin Zimmerman,2026-06-25
Port St. Lucie City Council District 1,funding_source,St. Lucie Supervisor of Elections Candidate Profiles,https://www.stlucievotes.gov/candidates_committees/candidate_profiles.php,accepted,Official/local candidate profile source accepted with limits for report navigation and exact visible monetary contribution; in-kind; and expenditure summary values only; transaction-level review still needed for breakdown fields,2026-06-26
Port St. Lucie City Council District 1,funding_source,Eric Reikenis VoterFocus Candidate Reports,https://www.voterfocus.com/CampaignFinance/candidate_pr.php?c=st&ca=738&op=cv,accepted,Candidate-specific official/local campaign finance page accepted with limits for report discovery; office confirmation; and exact visible summary totals only; transaction-level review still needed for breakdown fields,2026-06-26
Port St. Lucie City Council District 1,funding_source,Fredric Meltzer VoterFocus Candidate Reports,https://www.voterfocus.com/CampaignFinance/candidate_pr.php?c=st&ca=760&op=cv,accepted,Candidate-specific official/local campaign finance page accepted with limits for report discovery; office confirmation; and exact visible summary totals only; transaction-level review still needed for breakdown fields,2026-06-26
Port St. Lucie City Council District 1,candidate_website,Eric Reikenis Campaign Website,https://vote4eric.org/,needs_review,Campaign website can support optional bio/website fields only,2026-06-25
Port St. Lucie City Council District 1,candidate_website,Fredric Meltzer Campaign Website,https://vote4rickmeltzer.com/,needs_review,Campaign website can support optional bio/website fields only,2026-06-25
Port St. Lucie City Council District 1,voting_record_source,City of Port St. Lucie Agendas and Meetings,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Agendas-Meetings,accepted,Official city page accepted with limits for agenda meeting video minutes and record discovery; item-specific official source required for each voting row,2026-06-28
Port St. Lucie City Council District 1,voting_record_source,PSL Legistar City Council,https://psl.legistar.com/MainBody.aspx,accepted,Official Legistar source accepted with limits for City Council agenda packets action agendas minutes accessible agendas item details and video links; item-specific official source required for each voting row,2026-06-28
Port St. Lucie City Council District 1,voting_record_source,PSL-TV20 Granicus Public Meetings Archive,https://psl.granicus.com/ViewPublisher.php?view_id=4,accepted,Official meeting video archive accepted with limits for confirming vote details when written records are incomplete; prefer agenda minutes or action agenda where available,2026-06-28
Port St. Lucie City Council District 1,voting_record_source,City Clerk Public Records Requests,https://www.cityofpsl.com/Government/Your-City-Government/Departments/City-Clerk/Public-Records-Requests,accepted,Official records request path accepted with limits for obtaining missing vote records; final voting rows still need official item-specific support,2026-06-28
